Image,True_Label,Pred_Label
C:\Users\poplo\Desktop\DM\src\images\image_04853.jpg,3,1
C:\Users\poplo\Desktop\DM\src\images\image_03169.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_01258.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_05609.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03911.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_04878.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_01817.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03032.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_05369.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_00864.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_05963.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_06913.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04708.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_02061.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06654.jpg,1,4
C:\Users\poplo\Desktop\DM\src\images\image_05946.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_04719.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_05728.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_05258.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_00445.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_05344.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_00283.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_07271.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03458.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_01556.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02174.jpg,3,1
C:\Users\poplo\Desktop\DM\src\images\image_03635.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_07028.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_07569.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_02345.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_00776.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_01864.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_05539.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_07475.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03159.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03765.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04110.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_02787.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_07216.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04196.jpg,1,3
C:\Users\poplo\Desktop\DM\src\images\image_05921.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_02841.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06083.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06586.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_05464.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06794.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_06374.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_06958.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_05393.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04923.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04585.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05272.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_05419.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_02323.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_01126.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_03339.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_05980.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_07364.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_01267.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_03555.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_00750.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_01161.jpg,1,2
C:\Users\poplo\Desktop\DM\src\images\image_06543.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_04625.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_06088.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_05938.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_06164.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_01010.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_06802.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_03763.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_01106.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_04779.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_07232.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_02213.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04158.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05092.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_02906.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_07134.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03680.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_00492.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_01863.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_02431.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00400.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_02718.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04528.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_03368.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06982.jpg,0,4
C:\Users\poplo\Desktop\DM\src\images\image_01897.jpg,3,1
C:\Users\poplo\Desktop\DM\src\images\image_06735.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_00689.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_06496.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_07117.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_03219.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04382.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04542.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00242.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_03937.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02095.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_02429.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_02852.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_05484.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_04316.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04866.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_05576.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04225.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_04430.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_00539.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_03727.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04945.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06863.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_01167.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_07170.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03493.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_03587.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_02970.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_01545.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_00438.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03431.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_02342.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04189.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05843.jpg,3,1
C:\Users\poplo\Desktop\DM\src\images\image_03582.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_00800.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_03240.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04358.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_06829.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_03177.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04155.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_00753.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_00994.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04115.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04459.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_06052.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_07235.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_01448.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_01379.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_00559.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_02019.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_03228.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_00290.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_01169.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06375.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_05264.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_02657.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_01737.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_05209.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_03920.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02420.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_00456.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_07204.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_05490.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04375.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_03433.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_00899.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_02091.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03272.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_07470.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_07280.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_05040.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_05188.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_07308.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_02056.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_04868.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_03476.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_03021.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_01274.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_07363.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05482.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_07415.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_07366.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02569.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02837.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_07533.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_07175.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00022.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_00759.jpg,1,2
C:\Users\poplo\Desktop\DM\src\images\image_03526.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04717.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_01674.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_01194.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_01879.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04159.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_01354.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_02010.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_03790.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_01184.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04595.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_03556.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04185.jpg,1,4
C:\Users\poplo\Desktop\DM\src\images\image_01159.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06724.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_01512.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_02923.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02849.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04964.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06199.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_02517.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06444.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03497.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04731.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_02132.jpg,2,3
C:\Users\poplo\Desktop\DM\src\images\image_01642.jpg,1,4
C:\Users\poplo\Desktop\DM\src\images\image_03853.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06387.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_00263.jpg,1,3
C:\Users\poplo\Desktop\DM\src\images\image_06224.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_02796.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_05753.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04312.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_02867.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06494.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06337.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_06097.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_03157.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_00639.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_05297.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04045.jpg,0,1
C:\Users\poplo\Desktop\DM\src\images\image_05396.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_07161.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_03605.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04339.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_00001.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_03873.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02802.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_02632.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_04143.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02169.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_05038.jpg,2,3
C:\Users\poplo\Desktop\DM\src\images\image_06232.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_06306.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_07259.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_00825.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_07314.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03550.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03872.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02127.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_06127.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06144.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04235.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05316.jpg,2,0
C:\Users\poplo\Desktop\DM\src\images\image_03648.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00013.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04986.jpg,0,4
C:\Users\poplo\Desktop\DM\src\images\image_03574.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_01565.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_06045.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06659.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_00591.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_06295.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_03775.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03701.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_03317.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_07334.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_03203.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_02876.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_06776.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00429.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00839.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04904.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_03102.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04996.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_06460.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_00917.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_00361.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06043.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06106.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_07286.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_02229.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_03139.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04330.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00808.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_00023.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06692.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_01508.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_02408.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_02641.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_01805.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_06323.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_01860.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_01619.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06768.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_00211.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_06849.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_00870.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_02026.jpg,1,0
C:\Users\poplo\Desktop\DM\src\images\image_01982.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06261.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_00691.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_07367.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_05187.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_01462.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_07339.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05510.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05944.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_01503.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03728.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_03773.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_02018.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05777.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_00835.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_03821.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_05031.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03229.jpg,3,1
C:\Users\poplo\Desktop\DM\src\images\image_04609.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_00514.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04107.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_03442.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_06896.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_06456.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_03299.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_02545.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_04309.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_02200.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_01708.jpg,0,4
C:\Users\poplo\Desktop\DM\src\images\image_05493.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05752.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_07080.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_07049.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02477.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_03308.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_03419.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_03525.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_00817.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04036.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_01994.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_04409.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_01520.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_00871.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_04897.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_06888.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_01413.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_01979.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_07166.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_00044.jpg,4,5
C:\Users\poplo\Desktop\DM\src\images\image_07459.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_05494.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06738.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_01034.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_00884.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_01064.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_00713.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02717.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_05905.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_04702.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_06050.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_06013.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_00035.jpg,4,5
C:\Users\poplo\Desktop\DM\src\images\image_02903.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_04150.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05644.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_05386.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_07473.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_04574.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_05924.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_01441.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06116.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_06377.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_00963.jpg,5,5
C:\Users\poplo\Desktop\DM\src\images\image_01839.jpg,3,3
C:\Users\poplo\Desktop\DM\src\images\image_03408.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_01517.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_04255.jpg,2,2
C:\Users\poplo\Desktop\DM\src\images\image_01235.jpg,3,1
C:\Users\poplo\Desktop\DM\src\images\image_02776.jpg,4,4
C:\Users\poplo\Desktop\DM\src\images\image_06507.jpg,1,1
C:\Users\poplo\Desktop\DM\src\images\image_02454.jpg,0,0
C:\Users\poplo\Desktop\DM\src\images\image_01640.jpg,1,4
